Ticks;offsetTime;GPSLong;GPSLat;GPSDate;GPSTime;GPSheightMSL;GPShDOP;GPSpDOP;GPSsAcc;GPSnumGPS;GPSnumGLNAS;GPSnumSV;GPS-Koord
197769952;2.196;8.9378930;55.7546164;20181122;100543;40:49:00;0,05;01:36;11:22;9;7;16;8.9378930,55.7546164
198028062;2.253;8.9378932;55.7546163;20181122;100543;40.474;0,05;01:36;11:02;9;7;16;8.9378932,55.7546163
198253012;2.303;8.9378932;55.7546163;20181122;100543;40.474;0,05;01:36;11:02;9;7;16;8.9378932,55.7546163
198478075;2.353;8.9378932;55.7546163;20181122;100543;40.474;0,05;01:36;11:02;9;7;16;8.9378932,55.7546163
198670000;2.396;8.9378932;55.7546163;20181122;100543;40.474;0,05;01:36;11:02;9;7;16;8.9378932,55.7546163
198871598;2.441;8.9378932;55.7546163;20181122;100543;40.461;0,05;01:36;11:19;9;7;16;8.9378932,55.7546163
199099151;2.491;8.9378932;55.7546163;20181122;100543;40.461;0,05;01:36;11:19;9;7;16;8.9378932,55.7546163
199378083;2.553;8.9378932;55.7546163;20181122;100543;40.461;0,05;01:36;11:19;9;7;16;8.9378932,55.7546163
199541226;2.589;8.9378932;55.7546163;20181122;100543;40.461;0,05;01:36;11:19;9;7;16;8.9378932,55.7546163
199828034;2.653;8.9378933;55.7546162;20181122;100544;40:45:00;0,05;01:36;11:17;9;7;16;8.9378933,55.7546162
200053093;2.703;8.9378933;55.7546162;20181122;100544;40:45:00;0,05;01:36;11:17;9;7;16;8.9378933,55.7546162
200248540;2.747;8.9378933;55.7546162;20181122;100544;40:45:00;0,05;01:36;11:17;9;7;16;8.9378933,55.7546162
200470529;2.796;8.9378933;55.7546162;20181122;100544;40:45:00;0,05;01:36;11:17;9;7;16;8.9378933,55.7546162
200728027;2.853;8.9378934;55.7546164;20181122;100544;40.522;0,05;01:36;11:14;9;7;16;8.9378934,55.7546164
200880294;2.887;8.9378934;55.7546164;20181122;100544;40.522;0,05;01:36;11:14;9;7;16;8.9378934,55.7546164
201178007;2.953;8.9378934;55.7546164;20181122;100544;40.522;0,05;01:36;11:14;9;7;16;8.9378934,55.7546164
201336338;2.988;8.9378929;55.7546164;20181122;100544;40.69;0,05625;0,085416667;11:12;9;5;14;8.9378929,55.7546164
201628100;3.053;8.9378929;55.7546164;20181122;100544;40.69;0,05625;0,085416667;11:12;9;5;14;8.9378929,55.7546164
201780296;3.087;8.9378929;55.7546164;20181122;100544;40.69;0,05625;0,085416667;11:12;9;5;14;8.9378929,55.7546164
202026982;3.142;8.9378929;55.7546164;20181122;100544;40.69;0,05625;0,085416667;11:12;9;5;14;8.9378929,55.7546164
202183535;3.177;8.9378929;55.7546164;20181122;100544;40.69;0,05625;0,085416667;11:12;9;5;14;8.9378929,55.7546164
202528061;3.253;8.9378920;55.7546165;20181122;100544;40.932;0,05625;0,085416667;11:09;9;5;14;8.9378920,55.7546165
202753096;3.303;8.9378920;55.7546165;20181122;100544;40.932;0,05625;0,085416667;11:09;9;5;14;8.9378920,55.7546165
202978110;3.353;8.9378920;55.7546165;20181122;100544;40.932;0,05625;0,085416667;11:09;9;5;14;8.9378920,55.7546165
203170592;3.396;8.9378920;55.7546165;20181122;100544;40.932;0,05625;0,085416667;11:09;9;5;14;8.9378920,55.7546165
203400177;3.447;8.9378917;55.7546169;20181122;100545;41.285;0,057638889;01:54;11:07;9;5;14;8.9378917,55.7546169
203653025;3.503;8.9378917;55.7546169;20181122;100545;41.285;0,057638889;01:54;11:07;9;5;14;8.9378917,55.7546169
203878047;3.553;8.9378917;55.7546169;20181122;100545;41.285;0,057638889;01:54;11:07;9;5;14;8.9378917,55.7546169
204070599;3.596;8.9378917;55.7546169;20181122;100545;41.285;0,057638889;01:54;11:07;9;5;14;8.9378917,55.7546169
204271550;3.641;8.9378920;55.7546171;20181122;100545;41.687;0,049305556;01:31;11:04;10;6;16;8.9378920,55.7546171
204499241;3.691;8.9378920;55.7546171;20181122;100545;41.687;0,049305556;01:31;11:04;10;6;16;8.9378920,55.7546171
204778114;3.753;8.9378920;55.7546171;20181122;100545;41.687;0,049305556;01:31;11:04;10;6;16;8.9378920,55.7546171
204929918;3.787;8.9378920;55.7546171;20181122;100545;41.687;0,049305556;01:31;11:04;10;6;16;8.9378920,55.7546171
205228048;3.853;8.9378919;55.7546171;20181122;100545;42.083;0,046527778;01:02;0,484722222;11;6;17;8.9378919,55.7546171
205378619;3.887;8.9378919;55.7546171;20181122;100545;42.083;0,046527778;01:02;0,484722222;11;6;17;8.9378919,55.7546171
205678098;3.953;8.9378919;55.7546171;20181122;100545;42.083;0,046527778;01:02;0,484722222;11;6;17;8.9378919,55.7546171
205830615;3.987;8.9378919;55.7546171;20181122;100545;42.083;0,046527778;01:02;0,484722222;11;6;17;8.9378919,55.7546171
206128035;4.053;8.9378914;55.7546173;20181122;100545;42.427;0,045138889;01:17;10:09;11;7;18;8.9378914,55.7546173
206353046;4.103;8.9378914;55.7546173;20181122;100545;42.427;0,045138889;01:17;10:09;11;7;18;8.9378914,55.7546173
206578058;4.153;8.9378914;55.7546173;20181122;100545;42.427;0,045138889;01:17;10:09;11;7;18;8.9378914,55.7546173
